date	open	high	close	low	volume	amount
1991-06-03 00:00:00	115.9	115.97	115.97	114.89	95400	1643000
1991-05-31 00:00:00	114.83	114.83	114.83	113.84	121100	1470000
1991-05-30 00:00:00	113.74	113.82	113.82	112.77	38800	753000
1991-05-29 00:00:00	112.75	112.75	112.75	111.67	53000	1320000
1991-05-28 00:00:00	111.61	111.68	111.68	111.36	163000	970000
1991-05-27 00:00:00	111.05	111.07	110.66	109.47	861900	3827000
1991-05-24 00:00:00	110.07	110.08	110.08	109.82	102400	661000
1991-05-23 00:00:00	107.52	109.16	109.08	107.35	560900	2770000
1991-05-22 00:00:00	109.71	109.82	108.25	108.11	1867700	7967000
1991-05-21 00:00:00	108.89	108.89	108.81	108.62	77100	1309000
1991-05-20 00:00:00	107.76	107.82	107.82	106.71	86300	924000
1991-05-17 00:00:00	105.12	106.75	106.75	104.96	2019200	7633000
1991-05-16 00:00:00	105.83	105.86	105.77	105.69	310800	1445000
1991-05-15 00:00:00	106.56	106.6	106.57	106.42	39000	307000
1991-05-14 00:00:00	107.21	107.84	107.19	107.06	26700	185000
1991-05-13 00:00:00	107.88	107.88	107.84	107.74	23500	182000
1991-05-10 00:00:00	108.61	109.4	108.53	108.53	24900	313000
1991-05-09 00:00:00	109.36	110.12	109.29	109.31	226600	1215000
1991-05-08 00:00:00	110.16	110.82	110.03	110.0	42300	375000
1991-05-07 00:00:00	110.8	110.9	110.82	110.8	187500	907000
1991-05-06 00:00:00	111.65	112.41	111.61	111.57	276400	1423000
1991-05-03 00:00:00	112.46	113.17	112.41	112.3	423000	2386000
1991-05-02 00:00:00	113.04	113.2	113.16	113.03	146500	1124000
1991-04-30 00:00:00	113.89	114.87	113.94	113.89	485000	2734000
1991-04-29 00:00:00	114.86	116.29	114.75	114.75	841100	3610000
1991-04-26 00:00:00	116.31	116.31	115.56	114.52	1335400	5806000
1991-04-25 00:00:00	115.38	115.79	115.36	115.33	149500	998000
1991-04-24 00:00:00	115.7	116.19	115.79	115.7	14800	121000
1991-04-23 00:00:00	116.21	116.63	116.19	116.15	28200	264000
1991-04-22 00:00:00	116.63	117.08	116.63	116.58	43000	321000
1991-04-19 00:00:00	117.08	117.5	117.08	117.05	64600	424000
1991-04-18 00:00:00	117.45	117.93	117.45	117.45	17800	133000
1991-04-17 00:00:00	117.92	118.34	117.9	117.89	20100	259000
1991-04-16 00:00:00	118.36	118.77	118.34	118.34	10500	177000
1991-04-15 00:00:00	118.73	119.22	118.77	118.72	30100	386000
1991-04-12 00:00:00	119.2	119.65	119.21	119.15	39900	301000
1991-04-11 00:00:00	119.64	120.16	119.64	119.62	23900	576000
1991-04-10 00:00:00	120.15	120.62	120.16	120.09	46600	281000
1991-04-09 00:00:00	120.6	121.1	120.62	120.6	32000	297000
1991-04-08 00:00:00	121.11	121.11	121.09	121.05	186200	1675000
1991-04-05 00:00:00	121.07	121.73	121.54	121.03	1158900	6035000
1991-04-04 00:00:00	122.2	122.2	121.72	121.24	1051700	5045000
1991-04-03 00:00:00	121.71	121.71	121.71	121.21	206300	977000
1991-04-02 00:00:00	121.21	121.29	121.21	120.73	81600	387000
1991-04-01 00:00:00	120.69	120.73	120.73	119.68	1199900	5666000
1991-03-29 00:00:00	120.16	120.61	120.19	120.11	218500	2186000
1991-03-28 00:00:00	120.65	121.15	120.61	120.61	96100	505000
1991-03-27 00:00:00	121.12	121.64	121.12	121.12	66800	366000
1991-03-26 00:00:00	121.62	122.14	121.62	121.62	116400	709000
1991-03-25 00:00:00	122.12	122.62	122.12	122.1	44300	324000
1991-03-22 00:00:00	122.62	123.12	122.62	122.62	20700	120000
1991-03-21 00:00:00	123.14	123.66	123.12	123.12	15100	131000
1991-03-20 00:00:00	123.66	124.21	123.66	123.63	67800	433000
1991-03-19 00:00:00	124.23	124.71	124.22	124.22	89200	682000
1991-03-18 00:00:00	124.7	125.17	124.71	124.69	125000	1210000
1991-03-15 00:00:00	125.08	125.62	125.17	125.08	79000	403000
1991-03-14 00:00:00	125.61	126.15	125.63	125.61	32600	242000
1991-03-13 00:00:00	126.13	128.77	126.15	126.13	49800	418000
1991-03-12 00:00:00	128.73	129.31	128.77	128.73	95700	783000
1991-03-11 00:00:00	129.3	129.89	129.31	129.3	51400	299000
1991-03-08 00:00:00	129.84	130.41	129.89	129.84	93300	541000
1991-03-07 00:00:00	130.41	130.94	130.41	130.41	56800	427000
1991-03-06 00:00:00	130.89	130.95	130.94	130.89	71900	1345000
1991-03-05 00:00:00	131.42	131.99	131.46	131.41	98200	934000
1991-03-04 00:00:00	132.09	132.09	131.99	131.98	251800	1418000
1991-03-01 00:00:00	132.53	132.53	132.53	132.47	712400	3777000
1991-02-28 00:00:00	132.99	133.52	133.01	132.98	225800	1187000
1991-02-27 00:00:00	133.44	133.98	133.47	133.44	21400	141000
1991-02-26 00:00:00	133.9	134.44	133.93	133.9	109400	2545000
1991-02-25 00:00:00	134.37	134.87	134.4	134.33	81000	621000
1991-02-22 00:00:00	134.85	134.87	134.87	134.28	342700	2003000
1991-02-21 00:00:00	134.24	134.28	134.28	133.67	322000	1771000
1991-02-20 00:00:00	133.63	133.67	133.67	133.13	87600	520000
1991-02-19 00:00:00	133.12	133.14	133.13	133.08	174800	1216000
1991-02-14 00:00:00	132.53	132.53	132.53	132.3	362400	1883000
1991-02-13 00:00:00	131.93	131.93	131.92	131.35	115200	673000
1991-02-12 00:00:00	131.54	131.56	131.35	130.97	377400	1986000
1991-02-11 00:00:00	130.92	130.97	130.97	130.39	931700	4834000
1991-02-08 00:00:00	130.36	130.39	130.38	129.79	123400	879000
1991-02-07 00:00:00	129.74	129.79	129.79	129.14	213300	1504000
1991-02-06 00:00:00	129.13	129.15	129.14	128.06	664100	3847000
1991-02-05 00:00:00	128.56	128.58	128.58	128.53	856200	4250000
1991-02-04 00:00:00	129.05	129.58	129.05	129.05	55300	273000
1991-02-01 00:00:00	129.5	129.97	129.51	129.45	34500	140000
1991-01-31 00:00:00	129.93	130.46	129.97	129.93	51000	244000
1991-01-30 00:00:00	130.44	130.95	130.44	130.41	52700	260000
1991-01-29 00:00:00	130.95	130.97	130.95	130.95	138700	710000
1991-01-28 00:00:00	131.46	131.55	131.46	131.46	510700	2565000
1991-01-25 00:00:00	132.05	132.07	132.05	132.03	344700	1722000
1991-01-24 00:00:00	132.61	133.17	132.61	132.57	185700	917000
1991-01-23 00:00:00	133.17	133.72	133.17	133.14	109500	575000
1991-01-22 00:00:00	133.72	134.24	133.72	133.66	35400	180000
1991-01-21 00:00:00	133.7	134.24	134.24	133.66	205100	1029000
1991-01-18 00:00:00	133.7	134.25	134.24	133.67	300400	1570000
1991-01-17 00:00:00	133.67	134.25	134.25	133.65	65800	334000
1991-01-16 00:00:00	134.19	134.74	134.24	134.14	50900	270000
1991-01-15 00:00:00	134.21	134.74	134.74	134.19	144600	1010000
1991-01-14 00:00:00	134.11	135.19	134.67	134.11	1253000	6883000
1991-01-11 00:00:00	134.61	134.61	134.6	134.51	1332700	7115000
1991-01-10 00:00:00	133.93	133.97	133.97	133.34	999000	5399000
1991-01-09 00:00:00	133.3	133.34	133.34	132.68	560300	3228000
1991-01-08 00:00:00	132.62	132.68	132.68	132.06	292600	1806000
1991-01-07 00:00:00	131.99	132.06	132.06	131.45	21700	141000
1991-01-04 00:00:00	131.27	131.44	131.44	130.14	42000	261000
1991-01-03 00:00:00	128.84	130.14	130.14	128.84	14100	93000
1991-01-02 00:00:00	127.61	128.84	128.84	127.61	9100	59000
1992-12-31 00:00:00	765.86	784.03	780.39	765.41	13551100	180355000
1992-12-30 00:00:00	775.07	777.43	767.52	767.07	15273500	194586000
1992-12-29 00:00:00	759.54	769.61	768.91	754.54	14986400	187125000
1992-12-28 00:00:00	764.43	772.29	757.31	756.89	15216700	178234000
1992-12-25 00:00:00	768.68	781.36	764.28	761.89	26168700	366033000
1992-12-24 00:00:00	731.55	758.59	758.59	731.31	16675200	217228000
1992-12-23 00:00:00	723.84	736.27	732.05	721.44	11315900	138606000
1992-12-22 00:00:00	731.58	731.9	725.78	724.74	18332200	233273000
1992-12-21 00:00:00	709.87	731.68	731.68	697.7	27703700	411629000
1992-12-18 00:00:00	715.72	721.26	698.13	690.45	10233600	142493000
1992-12-17 00:00:00	689.14	707.82	707.82	685.65	11680200	150199000
1992-12-16 00:00:00	671.45	690.25	685.82	663.17	12133100	135191000
1992-12-15 00:00:00	699.83	713.9	682.24	682.24	14170300	166198000
1992-12-14 00:00:00	741.06	748.19	705.07	668.07	18814100	231872000
1992-12-11 00:00:00	664.61	735.62	722.28	628.91	30749000	372690000
1992-12-10 00:00:00	668.46	693.41	625.23	592.78	22743900	258176000
1992-12-09 00:00:00	737.94	752.89	676.45	661.66	27620400	342674000
1992-12-08 00:00:00	796.63	811.57	753.94	743.9	43366000	596425000
1992-12-07 00:00:00	765.87	803.12	793.25	757.34	25074200	339071000
1992-12-04 00:00:00	833.23	841.02	807.02	807.02	30575300	461615000
1992-12-03 00:00:00	760.65	826.06	808.2	739.03	30101400	428633000
1992-12-02 00:00:00	694.88	722.2	722.2	690.63	18142100	225079000
1992-12-01 00:00:00	718.99	749.89	716.74	713.85	21540400	259136000
1992-11-30 00:00:00	682.08	727.13	724.6	637.67	37065500	466139000
1992-11-27 00:00:00	593.68	682.4	637.67	490.54	26691500	303435000
1992-11-26 00:00:00	674.74	752.32	562.01	562.01	38763300	451184000
1992-11-25 00:00:00	485.16	571.63	571.63	441.54	30292800	264883000
1992-11-24 00:00:00	414.84	448.44	440.04	410.81	17509500	125234000
1992-11-23 00:00:00	404.05	410.57	410.39	401.82	13331400	91610000
1992-11-20 00:00:00	394.9	401.44	401.44	394.31	8647700	55774000
1992-11-19 00:00:00	409.61	412.23	398.95	395.16	11503000	76385000
1992-11-18 00:00:00	400.01	407.61	407.61	389.59	9328500	59699000
1992-11-17 00:00:00	390.09	399.08	393.52	386.85	10076200	67791000
1992-11-16 00:00:00	402.02	415.64	399.32	397.63	10707400	67165000
1992-11-13 00:00:00	418.49	421.67	414.09	413.3	11676300	79106000
1992-11-12 00:00:00	408.42	416.22	415.79	402.33	12112000	87130000
1992-11-11 00:00:00	402.79	410.16	410.16	388.32	10491400	70781000
1992-11-10 00:00:00	404.49	428.34	400.53	391.17	12466100	89992000
1992-11-09 00:00:00	439.81	459.04	428.61	424.68	9562200	71923000
1992-11-06 00:00:00	460.54	468.59	457.05	455.73	7379100	52648000
1992-11-05 00:00:00	460.96	470.89	462.63	457.03	9546400	72446000
1992-11-04 00:00:00	474.82	481.6	469.9	465.09	12859000	85452000
1992-11-03 00:00:00	481.34	487.07	479.81	465.6	12554300	90717000
1992-11-02 00:00:00	471.18	508.81	477.61	465.55	12622600	99006000
1992-10-30 00:00:00	494.66	507.25	507.25	484.45	14651000	129964000
1992-10-29 00:00:00	468.72	484.51	484.25	455.22	12405900	94125000
1992-10-28 00:00:00	466.73	470.98	463.21	447.93	11631100	103788000
1992-10-27 00:00:00	465.75	506.28	450.28	448.28	14138800	128776000
1992-10-26 00:00:00	539.5	561.5	506.94	504.81	12565700	125484000
1992-10-23 00:00:00	534.41	577.52	559.73	524.07	11498100	114178000
1992-10-22 00:00:00	557.03	584.91	539.8	535.79	13872800	149734000
1992-10-21 00:00:00	597.15	616.29	585.7	577.23	9192700	107881000
1992-10-20 00:00:00	634.43	663.65	616.29	604.5	9460900	103067000
1992-10-19 00:00:00	643.8	667.46	632.4	632.4	8103900	100268000
1992-10-16 00:00:00	664.0	668.57	664.75	661.2	6885100	91893000
1992-10-15 00:00:00	654.33	667.0	663.53	650.92	7575800	106075000
1992-10-14 00:00:00	661.07	673.94	663.75	648.84	10552500	142121000
1992-10-13 00:00:00	694.1	701.3	673.99	669.56	11223800	158357000
1992-10-12 00:00:00	687.45	713.77	690.57	661.99	11075200	149660000
1992-10-09 00:00:00	664.44	668.73	660.29	643.68	9394700	114917000
1992-10-08 00:00:00	648.96	671.67	643.69	640.22	8453200	96306000
1992-10-07 00:00:00	676.56	676.84	665.26	664.43	5383000	60947000
1992-10-06 00:00:00	682.92	692.62	674.24	664.27	7161300	97525000
1992-10-05 00:00:00	676.47	702.32	679.62	668.9	9411600	109752000
1992-09-30 00:00:00	703.63	710.63	702.32	698.91	8977800	96512000
1992-09-29 00:00:00	719.99	728.42	710.63	707.82	6483000	82381000
1992-09-28 00:00:00	724.45	729.79	724.7	721.19	4255700	40798000
1992-09-25 00:00:00	730.28	735.75	729.79	723.56	7653600	76255000
1992-09-24 00:00:00	720.51	735.49	730.57	709.63	7778700	92839000
1992-09-23 00:00:00	719.41	725.59	712.37	708.5	6559000	82873000
1992-09-22 00:00:00	730.71	736.9	722.7	716.23	6955200	91083000
1992-09-21 00:00:00	740.97	760.13	733.44	730.3	8172800	116545000
1992-09-18 00:00:00	715.89	761.72	754.4	715.89	6170700	81858000
1992-09-17 00:00:00	770.65	779.56	761.72	751.08	9418100	144745000
1992-09-16 00:00:00	762.29	776.68	769.04	738.16	14392600	203054000
1992-09-15 00:00:00	727.11	751.22	738.16	694.32	11937300	157671000
1992-09-14 00:00:00	762.82	793.36	734.98	714.93	13727000	195830000
1992-09-11 00:00:00	773.22	789.18	776.29	719.39	11729400	165860000
1992-09-10 00:00:00	643.21	695.18	692.78	622.01	11310900	142572000
1992-09-09 00:00:00	613.44	643.77	635.74	608.06	11190800	131749000
1992-09-08 00:00:00	653.36	702.83	640.12	595.42	10063400	130824000
1992-09-07 00:00:00	745.69	788.15	702.83	700.79	8710500	135455000
1992-09-04 00:00:00	759.54	776.18	753.58	749.46	9877200	130811000
1992-09-03 00:00:00	749.22	781.33	764.11	742.74	16373000	206650000
1992-09-02 00:00:00	803.83	826.68	787.67	783.96	9392400	140242000
1992-09-01 00:00:00	826.96	832.84	824.96	807.37	7869400	87529000
1992-08-31 00:00:00	833.5	848.4	823.27	823.02	5429600	77675000
1992-08-28 00:00:00	851.6	866.98	848.2	825.01	7488400	95684000
1992-08-27 00:00:00	874.75	880.02	863.77	861.64	5425800	89723000
1992-08-26 00:00:00	841.42	877.25	877.25	827.36	12615300	153392000
1992-08-25 00:00:00	868.1	887.49	849.57	848.05	8466200	135092000
1992-08-24 00:00:00	888.95	920.85	884.1	881.33	9934700	155058000
1992-08-21 00:00:00	916.99	938.37	916.25	912.89	17056700	189594000
1992-08-20 00:00:00	930.7	946.73	932.32	918.65	16056500	177488000
1992-08-19 00:00:00	920.66	951.16	939.51	888.23	7595200	131836000
1992-08-18 00:00:00	954.89	999.69	933.44	921.98	14849400	259401000
1992-08-17 00:00:00	898.66	940.76	939.46	858.38	11335700	190291000
1992-08-14 00:00:00	857.1	900.51	858.38	818.12	10440700	159447000
1992-08-13 00:00:00	797.17	890.06	850.94	745.62	11559400	171260000
1992-08-12 00:00:00	675.0	843.3	781.21	627.36	14483100	188801000
1992-08-11 00:00:00	926.81	961.61	863.41	797.6	10699900	153828000
1992-08-10 00:00:00	992.73	1006.64	964.09	956.55	8178100	111257000
1992-08-07 00:00:00	1003.22	1006.11	1005.23	995.71	7825600	101706000
1992-08-06 00:00:00	988.38	1010.76	1002.17	983.22	7255500	108106000
1992-08-05 00:00:00	1015.76	1038.3	1012.55	1011.66	6114600	76139000
1992-08-04 00:00:00	1018.3	1036.33	1035.63	1016.16	5247200	63035000
1992-08-03 00:00:00	1034.7	1060.36	1031.55	1026.83	6010300	73754000
1992-07-31 00:00:00	1045.67	1052.07	1052.07	1032.54	8714900	77149000
1992-07-30 00:00:00	1067.45	1087.36	1057.4	1043.79	9910800	88690000
1992-07-29 00:00:00	1078.31	1108.06	1087.12	1047.03	6898700	85225000
1992-07-28 00:00:00	1126.88	1148.63	1105.95	1102.02	7838700	105616000
1992-07-27 00:00:00	1169.42	1178.81	1149.33	1108.05	5956000	122257000
1992-07-24 00:00:00	1165.89	1178.9	1142.02	1014.08	5715500	100041000
1992-07-23 00:00:00	1020.07	1033.75	1014.57	961.61	7701400	137013000
1992-07-22 00:00:00	1059.22	1081.81	1035.66	1034.91	4734700	105623000
1992-07-21 00:00:00	1087.61	1096.49	1082.39	1079.75	3591200	66221000
1992-07-20 00:00:00	1100.6	1126.96	1098.82	1094.81	3169900	67313000
1992-07-17 00:00:00	1121.49	1134.32	1125.56	1116.14	6267100	115821000
1992-07-16 00:00:00	1114.13	1214.83	1124.64	1108.23	5046400	151032000
1992-07-15 00:00:00	1107.18	1135.57	1107.69	1100.16	4481200	121584000
1992-07-14 00:00:00	1124.65	1139.96	1114.05	1110.19	4446200	95340000
1992-07-13 00:00:00	1156.83	1198.9	1136.33	1131.21	5159500	123468000
1992-07-10 00:00:00	1175.14	1192.98	1188.62	1166.45	5814900	134101000
1992-07-09 00:00:00	1172.44	1187.18	1178.53	1168.78	5321600	130815000
1992-07-08 00:00:00	1192.37	1211.27	1185.5	1182.72	6804300	138880000
1992-07-07 00:00:00	1201.01	1206.91	1206.46	1195.81	6882600	204760000
1992-07-06 00:00:00	1197.76	1215.24	1201.01	1190.27	6378200	195780000
