Wall time,Step,Value
1504517118,16680,2.518390656
1504517239,16780,2.255995274
1504517359,16878,1.843453169
1504517478,16976,2.567730188
1504517599,17074,2.582625866
1504517718,17171,2.77705431
1504517838,17269,3.219230175
1504517960,17369,2.001788616
1504518078,17466,2.900399446
1504518198,17565,2.729490757
1504518318,17664,2.238452196
1504518438,17763,2.143153429
1504518558,17860,3.410753012
1504518678,17957,2.874413729
1504518797,18055,2.908741951
1504518918,18154,3.365904331
1504519038,18252,2.898105145
1504519158,18349,1.759543538
1504519278,18449,1.80752933
1504519398,18546,2.051484585
1504519518,18645,2.408481121
1504519638,18744,2.958084583
1504519757,18841,3.043973207
1504519878,18940,2.168681383
1504519998,19038,3.239679098
1504520117,19135,3.067533731
1504520238,19234,2.410888433
1504520357,19332,1.85812223
1504520479,19432,2.735058308
1504520597,19529,3.259999037
1504520718,19629,2.122585535
1504520838,19728,1.602796316
1504520958,19826,2.372462511
1504521079,19924,2.539401293
1504521198,20021,2.413294792
1504521318,20120,2.733101606
1504521438,20219,2.782183409
1504521557,20316,2.892972469
1504521683,20415,1.935727239
1504521798,20510,2.317382813
1504521917,20608,2.597961187
1504522038,20707,2.171471119
1504522158,20805,2.16732955
1504522279,20904,2.805768013
1504522399,21002,2.723380566
1504522519,21100,2.068468809
1504522638,21197,2.672790766
1504522758,21295,1.722917557
1504522878,21394,2.4410851
1504522997,21493,2.451020241
1504523117,21590,2.342578411
1504523240,21690,2.017017365
1504523358,21786,2.290533066
1504523478,21884,1.849736929
1504523599,21984,3.052802086
1504523718,22079,2.521258831
1504523838,22177,3.134796619
1504523958,22274,2.104266644
1504524078,22373,2.356063843
1504524198,22472,1.682664871
1504524319,22571,2.60051465
1504524438,22668,2.483296871
1504524557,22765,1.734824657
1504524678,22864,1.643577933
1504524798,22962,1.89588654
1504524917,23059,2.234660387
1504525038,23157,2.332148314
1504525157,23256,2.472940922
1504525280,23356,2.688575268
1504525401,23452,2.173181772
1504525519,23550,2.429559708
1504525640,23648,2.828076839
1504525758,23745,3.033910036
1504525879,23844,2.175634146
1504526000,23942,2.3894279
1504526119,24038,2.423468113
1504526238,24136,2.650406599
1504526358,24234,2.471048594
1504526477,24332,2.459915876
1504526598,24431,2.357058048
1504526719,24529,2.152085781
1504526837,24626,1.9568156
1504526957,24723,3.098793745
1504527078,24822,2.415745258
1504527198,24920,1.265222669
1504527318,25017,2.234985352
1504527439,25116,2.103062391
1504527559,25214,2.188817978
1504527679,25312,2.19405818
1504527798,25409,2.667968512
1504527918,25508,2.028112173
1504528038,25607,2.730007887
1504528158,25705,1.904979706
1504528279,25804,1.40817976
1504528397,25901,2.724262238
1504528518,26000,2.075729847
1504528638,26098,2.156415701
1504528758,26194,2.518367529
1504528878,26293,2.403575182
1504528997,26391,2.139995098
1504529117,26490,1.809582114
1504529240,26589,2.320508718
1504529357,26686,2.006713867
1504529477,26784,2.813112497
1504529597,26882,2.390900373
1504529718,26981,3.629326105
1504529838,27079,2.532889366
1504529958,27176,2.303242445
1504530078,27274,2.014756441
1504530200,27374,3.315458298
1504530318,27470,1.615360618
1504530438,27570,2.523633957
1504530558,27668,2.401932716
1504530678,27766,1.884376526
1504530798,27865,2.420596361
1504530918,27963,2.415075302
1504531038,28061,2.197451115
1504531160,28158,1.716986299
1504531279,28255,1.96426332
1504531398,28353,1.680128813
1504531518,28451,2.857519627
1504531639,28551,1.954242706
1504531759,28649,1.599762559
1504531879,28747,2.805840492
1504531998,28844,1.618226528
1504532118,28942,2.760848522
1504532239,29040,3.020586729
1504532359,29137,1.954773903
1504532479,29234,2.695329666
1504532597,29332,3.24037838
1504532718,29431,2.371288538
1504532839,29531,2.392212629
1504532959,29629,2.265753746
1504533078,29746,2.341675043
1504533198,29863,1.765872002
1504533317,29979,2.564700842
1504533439,30097,2.425242901
1504533558,30212,1.952289939
1504533680,30330,2.762623787
1504533798,30445,2.124150991
1504533918,30564,2.784993172
1504534038,30682,2.675823212
1504534158,30798,3.533043146
1504534280,30917,2.370886087
1504534400,31034,2.850410223
1504534518,31150,2.749572277
1504534639,31267,2.248142719
1504534757,31383,2.8486166
1504534879,31501,1.487695575
1504534999,31617,1.951398849
1504535118,31734,2.585581541
1504535239,31852,1.847302079
1504535358,31967,2.169567347
1504535478,32084,1.939497232
1504535598,32202,1.775853872
1504535719,32319,2.274109364
1504535838,32435,3.041721821
1504535957,32551,2.284687519
1504536079,32669,2.444822788
1504536198,32786,2.217593431
1504536320,32904,1.865311623
1504536440,33021,1.708740354
1504536558,33136,2.204325676
1504536679,33255,1.729034901
1504536797,33372,2.109293938
1504536919,33490,2.606904268
1504537037,33606,2.528292418
1504537158,33722,2.052399158
1504537279,33839,2.698582172
1504537399,33956,1.94372797
1504537518,34073,2.625413418
1504537638,34190,1.731143355
1504537760,34309,2.363196611
1504537878,34424,2.243534088
1504537998,34542,2.396990538
1504538118,34659,2.243527174
1504538239,34776,2.61267662
1504538357,34892,1.342305422
1504538480,35011,1.720813751
1504538598,35126,1.115929246
1504538719,35243,2.179422379
1504538838,35360,1.990601897
1504538958,35477,2.839332342
1504539079,35596,2.538203955
1504539197,35713,1.961562753
1504539320,35831,2.229340076
1504539438,35946,2.613526583
1504539557,36059,2.900908947
1504539678,36177,2.907675505
1504539798,36294,2.568348169
1504539920,36412,2.939695597
1504540040,36530,2.11651659
1504540158,36645,2.115142584
1504540279,36763,1.301886439
1504540399,36881,2.553233862
1504540519,36998,2.853246689
1504540638,37115,1.815879822
1504540759,37232,2.166981459
1504540878,37346,1.535491467
1504540999,37463,2.24867177
1504541119,37579,1.776010394
1504541238,37696,1.47341001
1504541359,37814,2.216251135
1504541480,37931,2.17158103
1504541597,38047,2.497496843
1504541718,38165,2.324187994
1504541838,38282,1.932493329
1504541957,38396,1.523043156
1504542080,38515,1.74509275
1504542198,38631,2.322408915
1504542320,38748,1.882236004
1504542443,38865,3.050804853
1504542557,38975,1.886333227
1504542679,39093,2.270426273
1504542798,39210,1.805120349
1504542917,39326,1.686302781
1504543038,39443,2.351754427
1504543157,39560,2.959502459
1504543277,39675,1.79492414
1504543399,39793,2.200649738
1504543519,39910,2.230696201
1504543640,40027,2.610520363
1504543758,40142,2.455514908
1504543878,40259,1.804202437
1504544000,40378,1.713686466
1504544117,40492,2.686684847
1504544239,40610,1.39801991
1504544359,40725,1.658304691
1504544477,40841,1.854229093
1504544600,40959,1.617325068
1504544720,41076,1.714807868
1504544838,41190,1.964772701
1504544958,41306,1.526365399
1504545079,41425,2.705365658
1504545199,41541,2.353414297
1504545319,41658,3.369297743
1504545438,41774,1.825067997
1504545560,41891,2.19028306
1504545680,42007,1.892594576
1504545799,42124,2.492450714
1504545918,42241,2.358791351
1504546038,42355,2.913466215
1504546158,42472,1.78373456
1504546279,42590,2.024476051
1504546399,42707,1.919532657
1504546519,42824,1.874731421
1504546640,42941,1.962253809
1504546758,43057,2.04030776
1504546878,43173,1.560399294
1504546999,43291,2.297172308
1504547119,43407,1.645978451
1504547238,43524,2.58659029
1504547360,43640,2.149710655
1504547478,43755,2.150192976
1504547599,43873,1.31238687
1504547719,43990,1.60731554
1504547840,44107,2.344128847
1504547957,44222,2.513908863
1504548078,44339,2.014900446
1504548197,44455,3.222248554
1504548319,44573,1.936267018
1504548441,44688,2.333584309
1504548557,44802,1.845740676
1504548681,44922,3.429578543
1504548801,45039,2.41493392
1504548920,45155,2.239294291
1504549039,45271,1.837829828
1504549160,45387,2.070737839
1504549277,45502,3.313397408
1504549400,45621,2.733149052
1504549520,45737,2.302236557
1504549638,45851,2.845810413
1504549758,45967,1.869078398
1504549879,46085,1.34299314
1504549999,46202,2.486053944
1504550120,46319,1.788639069
